Customer_ID,Birth_Year,Education_Level,Marital_Status,Annual_Income,Kids_Home,Teens_Home,Customer_Since,Last_Purchase_Recency,Spent_Wine,Spent_Fruits,Spent_Meat,Spent_Fish,Spent_Sweets,Spent_Gold,Deals_Purchased,Web_Purchases,Catalog_Purchases,Store_Purchases,Monthly_Web_Visits,Campaign1_Accepted,Campaign2_Accepted,Campaign3_Accepted,Campaign4_Accepted,Campaign5_Accepted,Filed_Complaint,Contact_Cost,Revenue_Contribution,Campaign_Response,Country,City,Region_Code,Mobile_App_User,Email_Subscriber,Device_Type,Referred_By_Friend,Social_Media_User,Membership_Tier,Total_Amount_Spent,Customer_Age,Family_Size,Senior_Citizen
1,1978,Graduation,Widow,40175.23,1,1,26-09-2010,68,440,34,473,215,58,45,5,3,2,2,18,1,1,0,1,0,0,3,11,1,Germany,Mumbai,948,1,0,Desktop,1,1,Silver,1265,47,2,0
2,1991,PhD,Widow,27979.68,0,1,03-11-2012,99,826,24,183,89,168,357,6,1,5,0,7,0,1,0,0,1,1,3,11,0,UK,Mumbai,353,1,1,Desktop,1,0,Basic,1647,34,1,0
3,1968,PhD,Married,64747.68,0,0,31-10-2013,63,895,2,315,104,195,295,1,7,6,5,6,0,0,1,1,0,1,3,11,1,Brazil,Mumbai,820,0,0,Desktop,0,1,Silver,1806,57,1,0
4,1954,Graduation,Widow,50185.85,2,2,30-04-2010,65,127,50,594,104,97,235,9,8,3,2,7,1,1,1,1,1,1,3,11,1,UK,London,837,0,1,Mobile,0,1,Basic,1207,71,4,1
5,1982,Graduation,Married,53163.09,1,2,25-09-2015,49,140,49,74,213,173,285,1,7,3,6,6,0,1,1,1,0,0,3,11,0,UK,Mumbai,911,0,1,Mobile,1,1,Basic,934,43,4,0
6,1947,Graduation,Together,65687.04,0,1,26-10-2013,71,799,12,774,204,151,496,5,5,1,2,0,1,1,1,1,1,0,3,11,0,India,London,695,0,1,Mobile,0,1,Platinum,2436,78,2,1
7,2000,Master,Widow,42838.91,1,2,22-01-2014,46,469,34,396,46,93,375,7,4,1,6,13,0,0,1,0,0,0,3,11,1,USA,New York,623,0,1,Mobile,0,0,Silver,1413,25,3,0
8,1960,Graduation,Together,29384.01,2,0,30-09-2012,67,581,88,626,114,113,329,4,1,0,0,5,1,0,0,0,0,1,3,11,1,UK,Berlin,983,0,0,Mobile,0,1,Silver,1851,65,3,1
9,1978,PhD,Widow,51046.71,2,1,18-02-2013,12,160,54,664,276,137,285,1,5,6,9,3,1,0,1,1,1,0,3,11,1,Brazil,London,727,1,1,Desktop,1,1,Basic,1576,47,3,0
10,1997,Graduation,Together,54619.42,0,0,05-08-2013,13,448,17,111,203,193,256,7,9,0,5,9,1,0,1,0,1,1,3,11,1,India,Mumbai,452,1,0,Desktop,1,0,Basic,1228,28,1,0
11,1958,PhD,Divorced,46057.26,1,0,10-03-2014,8,514,50,139,263,170,412,5,4,4,2,7,0,1,1,1,0,0,3,11,1,India,London,962,0,1,Mobile,1,0,Basic,1548,67,1,1
12,1962,Master,Together,72106.06,2,2,20-07-2011,27,388,29,542,174,54,216,5,1,4,7,3,0,0,0,1,1,1,3,11,1,India,Mumbai,983,1,0,Mobile,0,0,Gold,1403,63,5,1
13,1950,Master,Married,12707.5,2,0,24-10-2012,37,881,39,731,211,64,222,9,3,8,0,7,0,0,1,0,1,1,3,11,1,Germany,Mumbai,273,1,1,Tablet,1,1,Basic,2148,75,3,1
14,1950,Graduation,Single,66800.85,0,1,21-04-2015,11,986,29,270,207,21,398,3,5,8,9,19,0,1,1,0,0,0,3,11,1,UK,New York,211,0,1,Desktop,1,1,Platinum,1911,75,1,1
15,1963,Basic,Together,61867.3,2,0,22-01-2012,91,523,57,96,56,186,144,0,2,0,6,18,1,0,0,0,0,1,3,11,1,Brazil,Berlin,869,0,0,Mobile,1,0,Silver,1062,62,3,1
16,1992,Graduation,Single,56851.56,0,2,04-06-2014,12,288,87,522,239,89,391,8,9,5,1,11,0,1,0,1,1,1,3,11,0,India,London,519,1,0,Desktop,0,1,Silver,1616,33,2,0
17,1975,Graduation,Divorced,-38.52,2,0,20-07-2010,20,488,89,614,242,119,487,2,0,2,8,1,1,0,0,1,1,0,3,11,0,UK,Mumbai,169,1,0,Mobile,0,0,Gold,2039,50,2,0
18,1979,Basic,Divorced,69258.33,2,0,03-07-2015,54,26,64,415,161,73,73,7,0,0,7,0,0,0,0,1,1,0,3,11,0,UK,Mumbai,495,0,0,Desktop,1,1,Basic,812,46,2,0
19,1963,Graduation,Married,34603.49,0,2,13-09-2010,37,368,96,776,177,135,173,6,3,7,4,7,1,1,1,1,0,1,3,11,0,India,New York,562,0,0,Mobile,0,0,Silver,1725,62,3,1
20,1942,Graduation,Married,42384.62,0,2,18-07-2010,51,892,71,51,249,83,312,1,7,9,7,19,1,1,0,1,0,0,3,11,1,USA,London,128,1,1,Mobile,1,0,Silver,1658,83,3,1
