Birth_Year,Education_Level,Annual_Income,Kids_Home,Teens_Home,Last_Purchase_Recency,Spent_Wine,Spent_Fruits,Spent_Meat,Spent_Fish,Spent_Sweets,Spent_Gold,Deals_Purchased,Web_Purchases,Catalog_Purchases,Store_Purchases,Monthly_Web_Visits,Campaign1_Accepted,Campaign2_Accepted,Campaign3_Accepted,Campaign4_Accepted,Campaign5_Accepted,Filed_Complaint,Contact_Cost,Revenue_Contribution,Campaign_Response,Country,City,Region_Code,Mobile_App_User,Email_Subscriber,Referred_By_Friend,Social_Media_User,Membership_Tier,Total_Amount_Spent,Customer_Age,Family_Size,Senior_Citizen,Device_Type_Mobile,Device_Type_Tablet,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Total_kids,Income_per_person,Cluster,PCA1,PCA2,High_Spender
1978,1,40175.23,1,1,68,440,34,473,215,58,45,5,3,2,2,18,1,1,0,1,0,0,3,11,1,Germany,Mumbai,948,1,0,1,1,3,1265,47,2,0,False,False,False,False,False,True,2,13391.743333333334,1,0.4189654561643134,0.576976844208928,False
1991,3,27979.68,0,1,99,826,24,183,89,168,357,6,1,5,0,7,0,1,0,0,1,1,3,11,0,UK,Mumbai,353,1,1,1,0,0,1647,34,1,0,False,False,False,False,False,True,1,13989.84,1,0.18737909877984973,1.1624307398606053,True
1968,3,64747.68,0,0,63,895,2,315,104,195,295,1,7,6,5,6,0,0,1,1,0,1,3,11,1,Brazil,Mumbai,820,0,0,0,1,3,1806,57,1,0,False,False,True,False,False,False,0,32373.84,1,-1.0484430975065384,0.8664292776977183,True
1954,1,50185.85,2,2,65,127,50,594,104,97,235,9,8,3,2,7,1,1,1,1,1,1,3,11,1,UK,London,837,0,1,0,1,0,1207,71,4,1,True,False,False,False,False,True,4,10037.17,0,1.2148350853145002,-0.4177338039083827,False
1982,1,53163.09,1,2,49,140,49,74,213,173,285,1,7,3,6,6,0,1,1,1,0,0,3,11,0,UK,Mumbai,911,0,1,1,1,0,934,43,4,0,True,False,True,False,False,False,3,10632.617999999999,3,0.03219493186155213,0.3242858327168167,False
1947,1,65687.04,0,1,71,799,12,774,204,151,496,5,5,1,2,0,1,1,1,1,1,0,3,11,0,India,London,695,0,1,0,1,2,2436,78,2,1,True,False,False,False,True,False,1,21895.679999999997,2,-0.6289127278413201,-0.4174700887274039,True
2000,2,42838.91,1,2,46,469,34,396,46,93,375,7,4,1,6,13,0,0,1,0,0,0,3,11,1,USA,New York,623,0,1,0,0,3,1413,25,3,0,True,False,False,False,False,True,3,10709.7275,3,-0.5965112777503321,-0.3392786715520856,False
1960,1,29384.01,2,0,67,581,88,626,114,113,329,4,1,0,0,5,1,0,0,0,0,1,3,11,1,UK,Berlin,983,0,0,0,1,3,1851,65,3,1,True,False,False,False,True,False,2,7346.0025,0,1.0462838807211483,-0.48154361247905314,True
1978,3,51046.71,2,1,12,160,54,664,276,137,285,1,5,6,9,3,1,0,1,1,1,0,3,11,1,Brazil,London,727,1,1,1,1,0,1576,47,3,0,False,False,False,False,False,True,3,12761.6775,3,-0.4912927556639675,-1.363030486467014,True
1997,1,54619.42,0,0,13,448,17,111,203,193,256,7,9,0,5,9,1,0,1,0,1,1,3,11,1,India,Mumbai,452,1,0,1,0,0,1228,28,1,0,False,False,False,False,True,False,0,27309.71,3,-1.5198639615560612,0.6949758149678594,False
1958,3,46057.26,1,0,8,514,50,139,263,170,412,5,4,4,2,7,0,1,1,1,0,0,3,11,1,India,London,962,0,1,1,0,0,1548,67,1,1,True,False,False,False,False,False,1,23028.63,2,0.12853139707086073,-0.7036911478284859,True
1962,2,72106.06,2,2,27,388,29,542,174,54,216,5,1,4,7,3,0,0,0,1,1,1,3,11,1,India,Mumbai,983,1,0,0,0,1,1403,63,5,1,True,False,False,False,True,False,4,12017.676666666666,0,-0.40539884772236773,-1.177932894339427,False
1950,2,12707.5,2,0,37,881,39,731,211,64,222,9,3,8,0,7,0,0,1,0,1,1,3,11,1,Germany,Mumbai,273,1,1,1,1,0,2148,75,3,1,False,True,True,False,False,False,2,3176.875,2,1.6840565452251255,-1.7719793196631628,True
